userid,movieid
74336,32587 8961 48780 58559 5418 48394 7438 46578 8665 55820 59315 56367 7361 2502 33166 50872 34405 4878 6333 8874
39155,7153 6539 1203 1247 1610 1267 1225 922 2329 1233 1266 1284 6711 4963 1287 5989 1254 1206 594 1784
47205,49272 7361 8961 58559 6539 4878 46578 48394 4011 48774 55820 8636 33166 33493 44195 59315 51255 45722 8874 6377
74604,17 1961 1246 508 1225 2671 912 509 5299 1641 266 1962 1259 3897 1968 5377 1035 3176 4034 300
74670,6539 8961 6377 6874 7438 5418 7361 32587 8636 5349 5445 8360 6333 4973 49272 2329 4995 8665 33493 8368
74778,7153 4886 8636 8360 8368 6874 7438 3114 4973 5349 6333 5418 44191 32587 4963 40815 33493 8665 5816 5445
50563,4973 8961 4886 8360 5989 3114 8368 5669 5995 1610 8784 8636 6218 5377 5618 6874 30707 4027 5902 1784
30157,1222 5618 3949 2542 778 1676 2502 1215 8874 2968 1080 48394 48516 1356 2700 1374 2140 7090 6711 2011
75652,1208 3949 7361 6016 778 4878 32587 6874 7438 6711 46578 48394 4011 3160 55820 1090 923 1201 2692 1219
34976,44191 33794 48394 48774 54286 51662 56367 32587 3114 1080 45722 2355 48385 1079 49530 47610 33166 7361 44199 40815
62815,1732 750 1206 3160 1222 1208 55820 33794 48774 44191 778 5669 49272 48385 58559 904 4995 8464 8961 54286
42584,1584 1206 1374 1376 1356 1372 1653 1208 1375 1199 1682 2012 1396 1246 7361 4973 1225 2011 1222 1127
40050,7438 3147 778 5816 4973 33493 5669 4034 2542 2502 1206 2115 6378 3949 3897 5010 6537 1784 44191 4308
46429,2987 4027 1653 1127 6874 1517 4995 1222 2791 2115 1215 4034 3751 2329 1732 6365 1372 2291 2529 1961
39037,1968 1246 1079 1259 6377 4973 1258 1682 5445 6539 2000 4886 6711 3408 3147 7361 1222 2706 1206 5349
51445,6365 3623 1917 3147 5989 6934 3977 8665 2011 5218 32587 2000 1101 3753 2012 5502 6378 3114 1370 5459
29590,48516 32587 51662 54286 5418 7153 48394 8665 46578 33166 8961 56367 6539 48385 4011 49530 8644 6365 3147 45499
32895,4973 778 3949 750 6711 1208 1258 3160 5669 4878 1682 6016 4848 2712 2329 1080 1732 1199 5618 4034
76641,4886 5349 4896 8961 8360 5816 5989 4308 7361 6711 8368 1225 6874 4027 1035 6333 2671 1079 4022 3897
45772,1584 1608 2916 1917 1544 1676 1356 1610 1552 1127 2353 1653 2355 2006 2617 1722 1682 2012 2 1387
33289,44191 2502 58559 54286 48774 55820 1732 778 59315 48385 5418 1222 33166 44665 8961 6016 8665 1206 49530 3052
77076,912 1204 922 1230 1254 1207 1356 1283 1247 1208 5060 2395 1272 1127 1278 1376 1266 1256 1372 2366
77081,6711 32587 1206 6874 7438 5618 44191 1222 48774 750 48780 49272 56367 1208 3160 44195 8784 4235 8961 1732
40123,33493 3147 32587 6365 48780 2706 33166 7438 1028 41566 51662 8644 5378 7147 2987 48394 1961 596 6934 48774
6633,54286 44195 5418 6377 8665 2502 50872 3949 45722 33493 35836 44199 2692 47610 54503 40815 52973 54272 2542 45499
28642,5349 7438 8368 4963 7361 32587 44191 33493 1148 5816 40815 4896 6365 5989 4973 3114 8874 4878 7147 48516
71197,1246 4027 6539 1302 1304 1207 1234 3471 1266 4246 920 3911 3418 1358 3176 4085 2916 1394 1997 4973
77478,912 2502 7153 4878 750 2692 6874 48516 8961 2329 7438 908 46578 48394 913 49272 6016 48780 4027 1307
57184,2424 1569 2572 2006 1608 1485 2671 1777 1918 2694 1722 2002 1917 2581 2724 2953 3247 1911 2124 1552
1440,"I n t 6 4 I n d e x ( [ 1 2 5 9 ,     9 1 9 ,   1 3 0 7 ,   1 1 3 6 ,   1 7 0 4 ,   3 9 4 8 ,   2 3 9 6 ,   5 4 4 5 ,   1 3 7 5 ,   1 6 8 2 ,   4 9 6 3 , 
                         3 5 2 7 ,   2 5 0 2 ,   3 1 0 1 ,   3 1 7 5 ,   7 1 4 7 ,     9 1 2 ,   2 3 9 3 ,   6 3 3 3 ,   1 3 9 4 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
37859,1645 145 1597 216 1479 333 2694 22 1644 1918 1620 1552 1407 2541 552 520 2605 317 1020 2572
77855,4963 4034 6874 2502 5377 4878 7438 5418 4308 3948 8368 1653 6333 5995 6942 3176 3147 8464 6870 6863
78062,48516 32587 7361 8961 44195 6539 48385 59315 6016 8665 45722 33493 4963 35836 6377 8636 3949 50872 54503 44665
52366,6539 5445 6377 4963 4886 8360 6874 5378 33794 33493 7438 1917 8644 2617 6378 2115 6537 5502 2353 7254
78113,7438 1206 8961 778 44191 2542 6016 2692 3949 6539 1732 6377 46578 1148 6711 48780 58559 8874 55820 2700
69146,4011 4878 44191 33794 1682 2291 48516 4973 2542 1206 49272 48780 8961 3949 1225 745 6377 48774 4886 46578
65667,6539 33794 32587 4878 778 5445 4995 8636 2324 7147 5669 44191 3114 5418 5989 33493 3949 7090 1258 1246
78344,7153 4886 8961 3114 2355 1028 6711 2987 551 7147 4022 2671 5299 4014 5669 33794 5418 3147 1246 2115
78446,7153 1148 1517 2355 8961 2700 3175 3751 1584 1641 745 4878 1777 2324 5349 1732 3481 6874 5618 1500
32900,48516 32587 44191 33794 49272 7361 48394 48780 46578 1222 48774 54286 4878 56367 33166 48385 44195 51255 4011 3949
19585,903 1204 1610 953 5060 1247 3751 6377 1288 2918 1233 300 969 720 1246 1259 3471 235 2019 910
52602,4973 1246 4886 3147 7361 5349 1222 1101 6711 3114 1148 8636 2329 1090 1206 2291 6365 6333 33493 5669
65296,6874 7438 8636 4878 1148 8949 4034 8622 2918 6218 4308 745 3408 33166 30707 5995 1079 6016 2355 2706
59715,1356 8360 3114 5418 1517 2115 8961 4995 8636 3147 104 6333 5378 6874 2355 4896 5989 33493 2987 1584
27214,1208 750 1222 3949 6874 778 6711 32587 1258 4011 1732 912 7153 5669 2692 46578 1247 1080 4995 3160
79082,2012 4896 1917 2640 2011 2617 8961 2529 2987 1544 33493 4995 8368 1220 5989 4022 1653 6874 1387 3751
72354,49272 16 778 35836 1246 55820 7153 1090 4878 1485 5989 7361 56367 5445 3949 2194 3897 1610 2395 6539
79104,7361 1206 4878 2692 6711 778 46578 3481 3160 6016 2329 4979 48516 1732 2502 4027 5902 2395 8784 4848
79158,1584 1748 2692 2502 2916 1921 1391 3949 3481 2105 2011 1396 2012 1274 4011 6711 1208 3471 3000 3033
32911,6874 6377 4886 7438 4973 8961 4995 7361 2329 6333 4011 8360 32587 5989 3147 2115 4896 5378 1961 5816
79517,6539 4878 6377 5349 3147 4973 8636 5989 1222 4886 1206 46578 3949 3052 48780 51662 6016 778 8360 33166
79565,1206 1258 750 912 1682 1246 1961 5669 1080 2329 904 2692 6874 6016 1222 1247 7438 7153 5618 2712
79708,4878 6016 3949 8784 5669 5902 1206 750 7153 3897 2502 5618 2329 8949 1732 3481 32587 4848 4027 5995
79738,7153 7361 8961 6874 33794 32587 4886 7438 48516 4995 49272 46578 2329 594 3114 4963 4878 48780 2355 45722
79921,33794 44191 7438 2329 6874 58559 1222 33166 44195 51662 48385 59315 750 6711 3949 8784 4011 2502 50872 49530
80360,7153 2706 2502 6539 1968 5349 6377 4963 4886 6874 1517 2700 2791 5445 3114 2797 2115 2174 2329 1258
80512,44191 6377 5445 7361 7143 6934 46578 2502 48394 48774 35836 3147 4878 6378 4022 51255 1917 8874 2115 3275
80530,6874 7438 7153 6016 2692 3949 8961 2329 33794 48516 750 5669 6377 1206 4011 1732 6539 912 5902 8874
18101,1387 1997 2710 2115 8636 2291 3081 2797 6333 2617 4896 33794 1784 2502 2011 5816 5218 1917 1246 508
80857,48516 48780 44191 48774 33794 58559 54286 3114 51662 33166 44195 59315 8961 594 46976 2081 1148 45722 1307 32587
16051,4878 7153 3949 44191 6016 33794 5418 1080 48394 5618 1201 6502 48780 48774 58559 6934 1653 3275 3527 55820
81052,1682 7153 2918 2011 1307 6539 6874 6377 2324 1641 4246 4896 7438 5669 4995 4027 778 1777 5349 1080
55671,7361 8961 6377 4011 3949 5618 1222 1206 2692 1732 5669 1208 7147 5445 4963 8360 6807 1201 4027 48516
47396,4886 48516 2617 2329 45499 48394 48774 1215 1732 1206 6378 8798 34048 2 33679 1584 30793 1148 48385 4370
6480,7438 33794 6539 49272 2502 778 4963 1222 55820 7147 33166 58559 5418 2542 1208 8784 54286 1961 2291 5989
81214,4011 48516 2542 4262 1732 16 2916 44191 33794 1304 7153 6016 1080 1234 1961 2194 7361 1356 4995 1204
81566,1206 6016 4878 2329 1258 4011 2692 1732 5995 5902 5618 4995 2542 1201 4979 4027 46578 8949 48394 1682
8398,4022 1682 1610 2706 3408 33794 5445 6539 474 3948 5349 16 1584 3753 2115 1259 44191 7361 48780 2918
81672,594 596 1032 1028 1282 2087 2080 2078 2096 2018 2085 2081 1035 616 2137 783 551 661 1033 3034
63086,33794 2502 5349 6016 1222 1961 4027 55820 2918 51662 44195 3897 2692 30707 1258 1917 45722 1584 2700 2324
45929,1225 2019 1199 1376 1356 912 1275 1204 2021 1246 1250 1375 741 1961 2985 2194 2987 1293 2692 3471
52213,2329 3897 2692 6539 4027 778 33166 1968 4886 8636 5349 48780 1682 1090 8874 4262 48774 5669 30749 3052
78492,6874 32587 7438 8961 4878 7361 3147 6377 58559 2502 6333 6365 33493 7143 4886 3275 59315 3949 56367 45722
81881,778 2692 912 1225 3949 2947 1148 4878 1997 4011 6016 4848 1275 7361 2174 1250 2291 7153 1204 1266
81952,2918 11 1961 2791 2797 1968 1610 2268 1304 1207 3421 1358 1259 17 508 3671 1500 3039 908 266
7252,33794 48516 54286 58559 48394 51662 46578 48774 7153 8961 56367 59315 55820 7361 45722 44195 5418 50872 7438 34405
59822,32587 4878 1961 8636 33166 6016 3948 3408 8665 4027 49272 5995 33493 4979 35836 4246 48774 8970 44195 3481
82068,8961 750 33794 7438 6377 4886 2329 4973 1206 1222 4011 4878 912 4963 778 1250 49272 2542 8636 48516
65328,5349 4973 7361 3114 8360 1517 8636 5418 7438 4896 1784 1961 5816 3147 4027 2115 6365 2329 1584 33493
36786,1376 1372 3471 2529 1253 1127 2012 1206 7153 1219 1304 969 3175 1262 912 1234 953 2662 2985 1610
61894,7361 7153 4973 33794 32587 49272 44191 6711 6539 48394 33166 48780 56367 4995 8360 48774 55820 8784 4878 58559
82266,8961 4878 48516 7361 4011 2329 51662 48394 48780 5618 2542 8636 3000 33493 46578 741 1148 3275 1222 45722
82298,908 913 923 910 1252 898 969 922 1269 1307 1207 928 1304 750 905 1234 933 955 951 1204
78993,44191 8961 8665 33493 6377 51662 54286 8360 58559 4886 7143 5378 5989 6378 51255 56367 46578 41566 55820 48385
82378,33794 6377 48516 32587 49272 6874 7438 8636 8360 2329 4973 54286 56367 51662 48774 45722 33493 5418 8368 8665
22551,4011 48516 5618 8961 5445 6016 2542 1222 6711 48780 8874 51662 6365 741 46578 5349 8636 55820 6502 1208
45018,7153 6377 750 2502 6874 5418 4963 7438 1653 8368 912 2918 5618 3114 4027 4896 1356 1376 8360 908
82654,1222 6874 32587 7438 2542 1206 1732 44191 33794 48780 55820 58559 4973 49272 3275 51662 48774 7153 46578 3052
69470,4963 8961 5299 3408 4308 8665 3977 8644 5377 33493 6934 6942 33794 7361 4018 8970 3994 1682 1907 7458
82021,6874 7361 7438 3147 4011 32587 4886 1222 2502 5418 5349 8961 48516 1258 1208 6365 8360 2918 2542 1225
48061,7153 7438 2502 4963 3147 778 7361 4878 33794 2115 2916 1961 1732 2918 6539 5418 3949 4973 5349 44191
82293,908 904 1208 903 1234 2019 7153 1610 1267 1387 1247 1207 2944 1287 1203 5060 2194 910 1084 1222
45152,46578 48516 44191 33794 49272 6016 6711 8961 32587 48780 55820 7438 4878 33166 7153 44195 58559 8784 6874 30749
79408,1748 1997 2167 1206 1608 2268 3408 3176 3175 1552 832 2355 36 3300 1092 1219 1374 2700 1246 4720
28078,4886 7438 5445 8360 8368 6365 4995 5989 40815 5816 4973 4878 2329 4896 51662 2502 54286 4011 34405 58559
83367,778 1208 1206 1222 1732 2542 2329 4011 1729 750 1201 4262 4878 6874 1884 2700 4848 3160 4973 1090
83667,4973 1246 1206 2324 4995 6874 3160 5669 750 1307 1228 46578 5618 1293 1247 4011 32587 1080 30749 2291
83691,1225 903 745 1079 1208 953 1252 1230 1259 1080 1204 1234 913 1250 1394 1278 4973 3114 2324 1199
32498,8961 4886 8360 7143 7361 8644 2916 2706 2502 2329 1584 1653 4878 3527 6378 4022 1517 7254 34405 41566
73908,1208 2291 4034 1080 2692 1729 16 5902 6502 1219 5995 3081 3147 48516 2700 6953 5618 750 5445 3052
83932,1961 2000 1246 1610 1307 1101 33794 2115 7153 49272 1259 44191 1079 1968 2406 1584 1682 2268 1784 2797
83976,7153 4886 6539 8961 8360 5445 1961 4963 4896 5349 3147 3114 5816 8368 5989 1246 4246 5418 4014 7361
15980,1961 2706 1307 1968 7153 1517 1387 3147 1784 1206 6539 6377 1208 2011 778 1222 3114 4963 2000 4886
55524,4011 32587 1206 7438 7361 778 3949 44191 33794 7153 2542 2502 6016 1732 49272 48780 1090 3147 55820 48394
39426,8636 5349 8360 4963 8368 5445 6333 8665 44191 2355 7361 1148 33493 48516 40815 6874 745 32587 2502 5989
84283,6539 6377 7153 4886 8961 5418 5989 4896 5445 5816 8360 5299 8368 8665 33794 5377 4246 5991 4447 6365
67902,7153 6874 778 7438 4886 7361 2329 4878 1222 1208 5445 1206 4995 4963 6711 32587 3949 5349 2692 1225
84387,1374 1376 1917 1372 1375 1356 1371 2947 2529 2012 7153 1544 3623 1201 2985 3753 3408 4963 1876 1129
82204,8961 44191 6539 8636 5418 6874 51662 7438 54286 7361 8665 46578 48394 5349 48774 45722 6333 8874 33166 4878
84473,6377 6539 1246 2011 4963 5989 8961 1610 508 1101 6874 8360 1653 2268 2324 7438 3408 1573 2329 1517
84907,32587 6874 7438 46578 4011 48394 8961 58559 55820 4878 6016 51662 56367 1208 44195 8665 6539 48385 59315 2542
84921,6874 7438 4878 32587 1222 7361 33794 3949 4973 1208 2692 1732 44191 778 2502 8961 6539 1201 3275 7090
83080,3481 7361 4034 4995 3408 5991 5669 4308 5989 6218 8784 3967 4963 5995 6870 5225 6377 4641 5992 4361
47619,4973 8961 7438 6711 33794 4963 46578 44191 342 509 4886 8784 708 7 2692 6016 48394 8360 1380 33166
10888,48516 44191 49272 48780 58559 54286 48774 59315 48394 51255 33794 55820 44665 56367 34405 32587 47610 45499 56174 49530
31961,2355 7438 32587 2081 3114 7361 2291 5445 2115 3147 778 5218 1282 44191 3751 5418 4896 1961 1148 6365
85395,8961 6377 8949 6874 7438 5989 33794 6539 750 2502 5377 3949 4886 32587 5618 39183 8464 2918 8970 4848
85401,1206 4011 4995 2706 5989 8961 4886 2542 1961 48780 6333 2291 4262 33166 2502 7254 6502 3052 1090 1220
74454,6539 2706 6874 44191 5418 7438 46578 2502 8665 8636 48394 54286 45722 4011 1258 33493 55820 48385 2355 4973
18338,778 4973 1206 1961 1222 1517 1784 3147 6539 2291 2706 7361 2115 5445 1220 2542 6377 1641 1485 4878
50949,908 7153 1225 8961 720 7361 1212 1219 1252 3114 3751 1204 2324 910 1080 1203 1284 1207 4886 922
17277,7438 2329 33794 1222 5669 750 4011 7147 4995 3000 5995 33166 55820 8784 8874 7090 30749 2291 58559 2542
77242,7153 2502 1225 4027 7361 1246 6874 1080 2542 1961 912 1732 3481 7438 4995 1199 1201 5445 3160 4963
85845,44191 32587 6874 7438 8360 33493 51662 7361 4886 46578 6333 5445 48394 40815 2502 8368 56367 6365 48774 55820
85915,6377 6874 7438 32587 8665 2692 923 4979 1208 5669 44191 904 8949 30749 1252 2329 1374 1653 30707 1247
17836,6377 3114 3751 6539 2355 750 912 1225 741 8360 2987 4896 1274 7361 8636 5816 1220 1275 1215 1246
77690,6377 5349 33794 1517 2706 4995 8360 32587 1610 1961 2355 8665 44191 2174 1784 1653 8368 2640 4022 2291
77857,3114 4963 5445 8360 8636 6333 5418 4896 6874 8368 5378 33493 5816 1917 4022 2700 4995 7438 8665 3147
86179,7153 7438 4963 2502 5445 5418 6539 1732 48516 1206 44191 1222 2706 1584 4995 1517 778 3147 2011 2542
86328,1356 1584 2011 1376 1206 2916 1127 1372 788 62 442 1961 1917 1375 2 2115 1101 1246 7361 786
86340,7153 6539 4973 4886 33794 6874 7438 8636 8368 32587 4963 1682 5418 5349 6711 33493 44191 5989 4995 5445
38094,4886 4963 6874 5989 1961 7438 8665 2918 1584 32587 1207 750 2012 953 904 2355 5618 908 5299 6942
15595,594 1028 1022 2081 596 1029 1282 2087 1032 2096 1035 2078 2018 899 2085 1947 1025 17 1380 1907
40847,551 2291 1387 1682 32587 1208 7361 2700 5679 1339 1278 2657 508 4011 8874 1994 2003 16 1350 2542
36043,3114 4886 6377 8961 6539 551 4896 5816 2761 8636 6333 2081 596 2078 1282 1080 2987 2294 48 40815
86916,913 899 969 916 914 902 1267 933 953 1307 1086 915 750 1204 1248 3435 1254 911 1104 509
27804,1219 3408 3897 1387 4963 4022 2706 4886 1258 4995 6377 4896 5349 5377 4034 1380 5989 6539 4447 1307
29066,6539 4963 8636 5445 8360 5418 8368 7361 4995 33493 8665 32587 6365 5816 4896 3114 44191 4973 5378 40815
2168,56367 33166 47610 7438 50872 52973 34162 8798 38061 30707 40819 40815 7254 4878 60069 56782 7143 7153 48738 7445
71972,1208 1304 1250 1387 1233 1276 1262 1090 1252 1247 1148 4027 1201 2268 908 1784 3471 1207 474 1641
87102,265 1641 838 1784 58 515 778 1148 1682 342 1307 708 345 36 1188 1584 1639 745 1225 2291
72035,32587 33794 44191 6874 49272 7438 48780 4878 1222 51662 7361 54286 48774 55820 5418 46578 3949 56367 2542 1653
87246,1610 33493 1391 2355 4896 5816 6874 6934 2617 1220 1544 5218 3527 2640 40815 1375 32587 5989 7438 2987
7156,2791 1090 1387 1954 1258 2000 2115 2987 3114 16 1610 1201 2268 3448 2795 1266 4085 7153 2174 553
87653,1206 4027 912 1259 1247 1252 3911 904 923 1278 4995 7153 1387 1304 2502 908 5377 8961 1968 1732
87790,1208 1304 1732 2329 1222 2502 912 2542 1252 1233 5060 4011 1206 1266 1247 1358 1272 1207 1500 1201
62968,1079 1208 778 7153 1288 1206 6711 7361 1258 1222 6539 745 1732 750 6807 1641 1304 8961 2542 6377
46511,750 903 1252 1204 1267 1219 7438 1208 930 2186 3435 2692 1247 6711 2502 8368 7090 3114 1178 1228
10908,551 1517 2291 6539 2987 594 32587 1079 750 1208 2502 2918 3081 1278 235 5445 4963 1784 2692 33794
7804,1080 6874 7153 912 32587 1208 2502 3949 2019 6016 1222 4027 741 33794 1199 8874 8961 3052 1201 44191
68917,1223 2692 7361 3000 8961 7153 3751 720 3114 1080 2355 48394 2019 741 33794 1201 750 32587 4878 44191
61421,6874 6377 8961 4886 32587 4963 5418 5349 5445 8636 8360 6333 7361 44191 33493 8665 6365 4878 49272 1222
82763,33794 49272 44191 32587 7361 46578 33166 8961 2329 48774 6874 7438 5418 55820 8665 6539 44195 30707 6377 6016
82184,1225 1148 745 1079 1293 1960 1233 3751 2020 1296 2355 1080 1307 720 1957 3114 1208 1961 2324 1246
88864,4973 7361 6711 4034 1208 1206 3949 5995 5669 3897 2329 3408 3160 6874 4027 1201 1090 7438 33166 778
52983,6874 7438 8961 5445 8636 6333 7361 58559 1080 3052 48394 48774 6934 5989 3623 46578 59315 7143 5218 8644
87804,6874 2329 4878 4011 55820 46578 4973 5618 56367 1732 48385 44195 1208 44665 8636 6377 54272 3000 1199 49530
37726,33794 8961 44191 8636 5349 4995 33493 2706 5989 48780 4886 48394 33166 58559 8368 56367 40815 48774 4878 35836
69999,750 2599 246 912 300 1374 2502 1610 2692 923 474 908 497 471 1252 1060 2019 529 1372 1500
89530,7361 33794 5445 4878 1682 44191 5418 6333 2355 2542 5618 8368 4995 33493 3751 49272 2502 6365 6711 4027
89622,7153 5618 7361 6874 6539 7438 8961 6377 3000 2081 4878 2193 32587 2019 1967 33794 2006 2291 8360 2115
34836,1517 2329 4034 3897 3147 3949 2700 3176 4878 4308 2671 2011 2012 1968 7153 551 2355 7438 6377 1673
53457,7438 7153 4878 33794 7361 2502 3949 49272 5445 1732 6539 4973 1206 778 1208 6016 48780 51662 58559 4262
90110,1610 1573 1608 1584 1625 2000 1597 1552 1407 1645 2353 2268 1370 2916 1784 1909 1676 2278 2167 2001
90340,7438 3052 1222 49272 33794 58559 51662 48394 54286 8874 46578 3481 56367 1639 1080 2700 48385 1466 2692 5418
46649,2329 1258 4011 7153 1208 5669 2692 1732 2542 5618 2291 4034 4995 1080 5995 5902 750 48516 4979 7147
90611,4878 1222 48780 1732 58559 48394 51662 3949 1208 33166 750 48385 8874 59315 44665 4973 4262 49530 30749 6711
70045,7153 7361 54286 6539 48774 33166 6377 2329 45722 8665 33493 44195 59315 51255 4878 49530 30707 35836 46976 44199
81471,7153 4963 5418 5445 4011 33794 5349 2329 2115 5989 1682 44191 8665 48516 2012 8360 6377 49272 6934 8636
82587,4246 3897 5377 8949 4014 33166 3176 5902 2671 4022 5299 30707 4979 6870 3948 2324 3481 3160 6377 3967
90896,6377 6539 7361 8961 6711 4973 3897 4963 5349 8636 4027 5902 5445 8360 8368 5418 8949 4896 5816 5991
91209,1246 1233 1374 4973 1356 509 1247 2019 1219 4995 1376 1101 1127 1387 1263 1293 7361 6711 1230 5349
43658,912 1250 1262 2019 913 904 1204 1206 1247 1272 32587 1233 1090 1263 1207 1203 7438 1953 4878 1219
91585,2329 51662 48774 54286 4011 55820 33166 5418 1206 51255 6874 44195 7438 44665 48385 49530 8665 3949 45722 6502
16952,5349 5445 32587 5459 49272 4896 8961 6378 8368 40815 19 48516 4886 48780 5903 1485 2985 1961 1653 5679
20454,908 923 913 1252 903 1207 1204 1250 1267 1203 1247 1219 1230 1208 969 1225 1234 1304 1284 910
91648,1208 4973 1222 3949 32587 4011 1246 6016 6711 6539 2291 1584 1090 1080 33794 1732 5618 5669 2692 6377
33140,7438 6377 2329 1653 3911 4246 1673 4641 1584 6863 5299 3317 5995 5502 1729 2797 2302 4776 4370 3751
33854,912 750 908 1252 7153 1219 1247 1208 903 913 1207 7361 6539 1234 1250 4963 6874 2502 4973 1267
92531,7361 2692 6711 4878 7438 2019 6377 1208 8961 2329 3949 6539 1222 912 1206 5669 4886 1201 778 3000
92641,1234 1246 1220 1242 2115 923 1204 2791 1090 3751 1278 4896 4022 4027 2947 920 553 1035 8368 36
61677,6539 33794 4886 7438 4995 8360 32587 5989 44191 4878 6365 2329 2502 6711 49272 5816 4896 5378 4011 7147
60051,6874 7361 6377 2692 6539 4886 7438 4878 4995 5618 5445 6711 8961 2291 778 3949 2324 4963 1258 4011
92841,7361 7438 4878 8961 32587 6377 6016 6711 33794 1206 6539 44191 48394 2692 2329 778 3000 3949 4886 1148
93001,1080 750 7153 4886 4995 1206 7361 4973 6539 2355 1517 6711 1278 1234 5989 1784 1079 3897 1387 1148
93019,904 913 1252 1250 1225 1208 2019 1247 953 1234 969 1233 1304 1206 1212 1230 1276 920 910 1201
11168,6874 7153 7438 32587 1206 4011 6711 33794 2542 48516 48394 1732 750 8874 6539 49272 4027 48774 7147 55820
93170,4896 5445 3408 5816 4022 4886 4995 6377 5502 2706 4025 5218 6365 5418 5378 4014 8360 3623 6333 6378
93433,1250 912 1262 908 923 1204 904 1207 1219 1233 913 2019 750 1201 1272 903 1208 1266 1252 1276
94041,4878 4973 7438 4011 750 1732 1090 7153 6711 1263 2692 2019 48516 5669 1884 1250 3160 44191 4848 1199
94047,6874 7438 5418 5349 5989 4878 8636 8360 2542 6365 1682 4027 6711 8665 3949 7143 2502 5669 3897 2692
94125,6539 6377 8961 8360 8636 4886 5349 33794 33493 5418 8665 4963 5445 8644 5378 45722 6874 7143 5989 41566
2111,"I n t 6 4 I n d e x ( [ 5 9 5 2 ,   7 1 5 3 ,   3 5 7 8 ,   1 6 7 4 ,   1 9 9 7 ,   1 3 7 2 ,   6 8 7 4 ,   1 3 7 6 ,   2 3 5 3 ,   5 4 4 5 ,   1 2 1 9 , 
                         1 2 4 0 ,   3 1 4 7 ,     2 9 6 ,   2 9 5 9 ,   2 7 6 3 ,   1 7 2 2 ,   1 0 9 2 ,   4 3 0 6 ,   1 0 8 9 ] , 
                       d t y p e = ' i n t 6 4 ' ,   n a m e = ' m o v i e i d ' )"
80235,2329 6874 7438 32587 4011 2542 1732 7153 6016 48516 33794 6711 1206 44191 5618 778 48394 750 46578 8874
10871,2355 8360 8368 720 8636 6874 6333 5349 5816 7438 4896 2987 5445 4027 2324 40815 6807 1682 6711 3175
94405,3114 2355 3751 2761 2987 1907 783 1148 745 3081 661 2710 2706 1022 62 2687 2605 2694 2881 3753
19622,6539 6377 5445 4886 8961 5418 8360 8636 1682 5989 7361 33794 5378 2329 3147 4973 33493 2115 5816 8368
94502,48516 49272 48780 44191 51662 58559 33794 48774 56367 48394 55820 59315 46578 51255 32587 49530 45722 44665 50872 44195
94787,6711 8961 7153 6377 6016 7438 8949 48516 33166 30749 30707 5995 32587 7147 5902 48394 5989 6870 8970 44191
94876,7153 1584 2012 6539 1517 2011 5349 6377 8961 1917 1682 6333 8636 104 788 1391 4886 1374 2115 2916
39323,7153 1376 1372 6539 2916 4886 2021 1375 2105 1215 1676 3000 5618 2968 7361 5378 1371 7438 2140 4973
3482,594 1028 1022 1029 1035 1032 2080 2087 551 2078 2096 2081 914 4973 899 2018 48 1380 2085 616
95162,6016 30749 1206 55820 8949 48774 48780 1258 1246 8784 44195 1208 2324 5669 32587 49272 44191 3160 1222 4034
90306,2918 3897 1101 2502 2797 3481 4022 1610 1961 3948 2791 1090 1246 2194 4963 1220 2599 2395 16 2916
95276,3408 48516 4022 46578 2502 49272 2700 3977 48394 2987 1206 2710 3623 44191 56367 2572 2694 58559 55820 48780
70773,48774 33493 8644 45499 4262 41569 34048 53996 6333 50872 8961 3948 8784 41997 54997 3147 5378 8984 40819 1517
35832,912 908 904 923 1207 750 1247 1252 1225 17 1204 1250 920 1267 2019 1219 1304 1234 1307 1262
21303,1206 6874 2502 2692 1222 6711 7438 32587 1208 3160 4034 5669 1080 4979 2700 3052 5618 4995 44191 5902
44931,32587 1206 48516 44191 778 49272 7361 33794 1222 2329 46578 6016 48774 1208 51662 58559 3949 33166 48385 4973
80658,8961 6377 6539 33794 4886 8636 8360 7361 1961 1148 6333 33493 1246 2918 1682 8665 745 44191 1225 3114
6915,4973 45722 46578 51662 1653 7254 48774 30707 45499 44195 59315 33679 41569 30749 30793 34048 6870 51255 48385 6016
75997,2706 7153 1682 6539 4995 2918 2324 4022 1968 2987 1101 1610 3751 5349 8360 5445 1517 3623 4896 2291
58732,2329 4886 4011 778 5618 5669 2692 7147 1732 46578 8464 30749 4979 3147 8622 7143 750 1090 8798 1682
74031,912 4878 1961 1090 2502 1225 2692 903 6711 1732 33794 1250 1247 2987 1207 2712 3147 3160 2700 46578
96055,4886 8636 4963 5418 6874 4995 4973 3114 1148 5989 7438 33493 33794 3751 1584 7361 1356 6934 8665 745
79836,7153 6377 4886 8961 3114 8360 5349 2355 33794 8636 5445 33493 5816 6333 4963 5418 1356 1682 5218 1148
14707,6539 32587 1517 4011 6377 5349 44191 1968 1222 4886 3052 8636 4027 2174 1784 6333 33166 1206 8784 4034
96435,7153 6539 1682 6874 4886 36 5445 778 2329 5349 7438 4963 2291 8360 2 6333 2194 594 6365 3147
74516,1997 4878 1387 778 750 7361 1732 4011 1345 1263 1201 6016 1090 2542 2160 1252 2710 4262 1080 4973
96530,7153 1663 8961 2502 2918 1374 104 3552 1242 1376 1517 1302 3421 1222 2804 1262 1272 48516 1276 8636
